Quality,Angle (degrees),Distance (mm),Rotation
1,0,1326,0.0
1,1,1145,0.0
1,2,1142,0.0
1,3,1150,0.0
1,6,705,0.0
1,7,707,0.0
1,13,415,0.0
1,16,348,0.0
1,18,309,0.0
1,19,296,0.0
1,20,274,0.0
1,21,272,0.0
1,27,224,0.0
1,28,226,0.0
1,29,225,0.0
1,30,224,0.0
1,31,224,0.0
1,32,214,0.0
1,34,210,0.0
1,37,160,0.0
1,38,171,0.0
1,39,181,0.0
1,40,179,0.0
1,41,176,0.0
1,42,169,0.0
1,44,160,0.0
1,45,163,0.0
1,46,160,0.0
1,47,158,0.0
1,48,154,0.0
1,49,153,0.0
1,50,151,0.0
1,51,148,0.0
1,52,147,0.0
1,53,144,0.0
1,54,143,0.0
1,55,141,0.0
1,56,139,0.0
1,57,138,0.0
1,125,182,0.0
1,126,185,0.0
1,127,184,0.0
1,128,185,0.0
1,129,185,0.0
1,130,188,0.0
1,131,176,0.0
1,132,167,0.0
1,133,165,0.0
1,134,162,0.0
1,135,159,0.0
1,136,156,0.0
1,137,153,0.0
1,138,151,0.0
1,139,148,0.0
1,140,146,0.0
1,141,144,0.0
1,142,142,0.0
1,143,140,0.0
1,144,138,0.0
1,145,137,0.0
1,146,135,0.0
1,147,133,0.0
1,148,131,0.0
1,149,130,0.0
1,150,128,0.0
1,151,127,0.0
1,152,126,0.0
1,153,126,0.0
1,154,124,0.0
1,155,122,0.0
1,156,121,0.0
1,157,120,0.0
1,158,120,0.0
1,159,119,0.0
1,160,118,0.0
1,161,118,0.0
1,162,116,0.0
1,163,116,0.0
1,164,115,0.0
1,165,114,0.0
1,166,114,0.0
1,167,113,0.0
1,168,113,0.0
1,169,112,0.0
1,170,112,0.0
1,171,111,0.0
1,172,111,0.0
1,173,111,0.0
1,174,111,0.0
1,175,111,0.0
1,176,111,0.0
1,177,111,0.0
1,178,111,0.0
1,179,111,0.0
1,0,1148,0.0
1,1,1143,0.0
1,3,1153,0.0
1,5,736,0.0
1,6,698,0.0
1,8,707,0.0
1,12,442,0.0
1,13,432,0.0
1,15,364,0.0
1,16,347,0.0
1,17,327,0.0
1,18,319,0.0
1,19,292,0.0
1,20,297,0.0
1,21,276,0.0
1,24,244,0.0
1,27,226,0.0
1,29,236,0.0
1,31,226,0.0
1,33,212,0.0
1,36,162,0.0
1,37,163,0.0
1,38,169,0.0
1,39,176,0.0
1,40,181,0.0
1,42,171,0.0
1,43,164,0.0
1,48,156,0.0
1,49,152,0.0
1,51,149,0.0
1,52,148,0.0
1,53,145,0.0
1,54,142,0.0
1,56,140,0.0
1,58,140,0.0
1,125,183,0.0
1,127,185,0.0
1,131,175,0.0
1,132,171,0.0
1,133,164,0.0
1,135,158,0.0
1,142,143,0.0
1,143,139,0.0
1,145,136,0.0
1,150,129,0.0
1,153,124,0.0
1,159,120,0.0
1,160,119,0.0
1,161,119,0.0
1,162,117,0.0
1,163,117,0.0
1,164,116,0.0
1,166,113,0.0
1,174,112,0.0
1,176,112,0.0
1,0,1563,0.0
1,2,1141,0.0
1,3,1145,0.0
1,4,766,0.0
1,12,430,0.0
1,14,388,0.0
1,16,354,0.0
1,17,330,0.0
1,18,311,0.0
1,19,291,0.0
1,21,277,0.0
1,22,270,0.0
1,26,218,0.0
1,27,222,0.0
1,29,234,0.0
1,33,210,0.0
1,37,162,0.0
1,38,172,0.0
1,41,175,0.0
1,42,174,0.0
1,43,170,0.0
1,44,162,0.0
1,45,162,0.0
1,46,161,0.0
1,47,157,0.0
1,48,155,0.0
1,52,146,0.0
1,132,173,0.0
1,134,161,0.0
1,136,155,0.0
1,137,152,0.0
1,140,145,0.0
1,153,125,0.0
1,156,122,0.0
1,162,118,0.0
1,177,112,0.0
1,178,112,0.0
1,179,112,0.0
1,0,1562,0.0
1,3,954,0.0
1,6,703,0.0
1,7,708,0.0
1,8,708,0.0
1,12,432,0.0
1,14,390,0.0
1,15,366,0.0
1,16,350,0.0
1,17,329,0.0
1,18,306,0.0
1,19,299,0.0
1,21,275,0.0
1,28,227,0.0
1,29,238,0.0
1,30,223,0.0
1,34,211,0.0
1,36,190,0.0
1,37,164,0.0
1,39,182,0.0
1,40,177,0.0
1,42,173,0.0
1,43,169,0.0
1,45,164,0.0
1,49,154,0.0
1,125,184,0.0
1,130,187,0.0
1,132,168,0.0
1,137,154,0.0
1,138,150,0.0
1,139,149,0.0
1,141,145,0.0
1,157,122,0.0
1,159,121,0.0
1,160,120,0.0
1,163,118,0.0
1,172,112,0.0
1,173,110,0.0
1,174,113,0.0
1,175,112,0.0
1,179,113,0.0
1,0,1430,0.0
1,1,1361,0.0
1,3,1146,0.0
1,6,714,0.0
1,8,829,0.0
1,9,655,0.0
1,13,429,0.0
1,18,313,0.0
1,19,298,0.0
1,20,296,0.0
1,22,269,0.0
1,27,225,0.0
1,29,235,0.0
1,31,225,0.0
1,32,216,0.0
1,33,211,0.0
1,36,180,0.0
1,40,178,0.0
1,41,177,0.0
1,44,163,0.0
1,56,141,0.0
1,126,186,0.0
1,129,186,0.0
1,130,189,0.0
1,131,170,0.0
1,132,169,0.0
1,139,150,0.0
1,141,143,0.0
1,147,134,0.0
1,151,128,0.0
1,154,123,0.0
1,155,123,0.0
1,157,121,0.0
1,158,121,0.0
1,161,120,0.0
1,164,117,0.0
1,165,116,0.0
1,171,112,0.0
1,0,1542,0.0
1,1,1138,0.0
1,3,766,0.0
1,6,696,0.0
1,8,869,0.0
1,12,460,0.0
1,18,314,0.0
1,20,292,0.0
1,22,272,0.0
1,26,221,0.0
1,27,227,0.0
1,28,231,0.0
1,32,217,0.0
1,34,212,0.0
1,38,175,0.0
1,43,162,0.0
